AphiaID,species,ecoregion,List
151802,Acipenser oxyrinchus,Baltic Sea,Fish
126279,Acipenser sturio,Greater North Sea,Fish
126279,Acipenser sturio,Celtic Seas,Fish
126279,Acipenser sturio,Bay of Biscay and the Iberian Coast,Fish
105807,Apristurus laurussonii,Greenland Sea,Fish
105807,Apristurus laurussonii,Icelandic Waters,Fish
105807,Apristurus laurussonii,Faroes ,Fish
105807,Apristurus laurussonii,Celtic Seas,Fish
105807,Apristurus laurussonii,Oceanic Northeast Atlantic,Fish
137128,Alca torda,Barents Sea,Birds 
137128,Alca torda,Norwegian Sea,Birds 
137128,Alca torda,Faroes ,Birds 
137128,Alca torda,Icelandic Waters,Birds 
137128,Alca torda,Greenland Sea,Birds 
137128,Alca torda,Oceanic Northeast Atlantic,Birds 
137128,Alca torda,Bay of Biscay and the Iberian Coast,Birds 
137128,Alca torda,Celtic Seas,Birds 
137128,Alca torda,Greater North Sea,Birds 
137128,Alca torda,Baltic Sea,Birds 
105863,Amblyraja hyperborea,ArcticOcean,Fish
105863,Amblyraja hyperborea,Greenland Sea,Fish
105863,Amblyraja hyperborea,Barents Sea,Fish
105863,Amblyraja hyperborea,Norwegian Sea,Fish
105863,Amblyraja hyperborea,Icelandic Waters,Fish
105863,Amblyraja hyperborea,Faroes ,Fish
105865,Amblyraja radiata,Greenland Sea,Fish
105865,Amblyraja radiata,Faroes ,Fish
105865,Amblyraja radiata,Celtic Seas,Fish
126682,Alepocephalus bairdii,Greenland Sea,Fish
126682,Alepocephalus bairdii,Faroes ,Fish
126682,Alepocephalus bairdii,Celtic Seas,Fish
126682,Alepocephalus bairdii,Oceanic Northeast Atlantic,Fish
126682,Alepocephalus bairdii,Bay of Biscay and the Iberian Coast,Fish
137129,Alle alle,Barents Sea,Birds 
137129,Alle alle,Norwegian Sea,Birds 
137129,Alle alle,Faroes ,Birds 
137129,Alle alle,Icelandic Waters,Birds 
137129,Alle alle,Greenland Sea,Birds 
137129,Alle alle,ArcticOcean,Birds 
137129,Alle alle,Oceanic Northeast Atlantic,Birds 
137129,Alle alle,Celtic Seas,Birds 
137129,Alle alle,Greater North Sea,Birds 
126757,Anarhichas denticulatus,Greenland Sea,Fish
126757,Anarhichas denticulatus,Barents Sea,Fish
126757,Anarhichas denticulatus,Norwegian Sea,Fish
126757,Anarhichas denticulatus,Icelandic Waters,Fish
126757,Anarhichas denticulatus,Faroes ,Fish
126757,Anarhichas denticulatus,Oceanic Northeast Atlantic,Fish
126758,Anarhichas lupus,Greenland Sea,Fish
126758,Anarhichas lupus,Barents Sea,Fish
126758,Anarhichas lupus,Norwegian Sea,Fish
126758,Anarhichas lupus,Faroes ,Fish
126758,Anarhichas lupus,Baltic Sea,Fish
126758,Anarhichas lupus,Greater North Sea,Fish
126758,Anarhichas lupus,Celtic Seas,Fish
126758,Anarhichas lupus,Oceanic Northeast Atlantic,Fish
126759,Anarhichas minor,Greenland Sea,Fish
126759,Anarhichas minor,Barents Sea,Fish
126759,Anarhichas minor,Norwegian Sea,Fish
126759,Anarhichas minor,Faroes ,Fish
126759,Anarhichas minor,Greater North Sea,Fish
126759,Anarhichas minor,Celtic Seas,Fish
126759,Anarhichas minor,Oceanic Northeast Atlantic,Fish
126413,Alosa alosa,Baltic Sea,Fish
