"ecoregion","metierL4","species"
"Adriatic Sea","FPO","Abramis brama"
"Aegean-Levantine Sea","FPO","Abramis brama"
"Azores","FPO","Abramis brama"
"Baltic Sea","FPO","Abramis brama"
"Bay of Biscay and the Iberian Coast","FPO","Abramis brama"
"Black Sea","FPO","Abramis brama"
"Celtic Seas","FPO","Abramis brama"
"Faroes","FPO","Abramis brama"
"Greater North Sea","FPO","Abramis brama"
"Icelandic Waters","FPO","Abramis brama"
"Ionian Sea and the Central Mediterranean Sea","FPO","Abramis brama"
"Oceanic Northeast Atlantic","FPO","Abramis brama"
"Western Mediterranean Sea","FPO","Abramis brama"
"Adriatic Sea","FYK","Abramis brama"
"Baltic Sea","FYK","Abramis brama"
"Bay of Biscay and the Iberian Coast","FYK","Abramis brama"
"Greater North Sea","FYK","Abramis brama"
"Ionian Sea and the Central Mediterranean Sea","FYK","Abramis brama"
"Western Mediterranean Sea","FYK","Abramis brama"
"Adriatic Sea","OTB","Acanthocardia tuberculata"
"Aegean-Levantine Sea","OTB","Acanthocardia tuberculata"
"Baltic Sea","OTB","Acanthocardia tuberculata"
"Barents Sea","OTB","Acanthocardia tuberculata"
"Bay of Biscay and the Iberian Coast","OTB","Acanthocardia tuberculata"
"Celtic Seas","OTB","Acanthocardia tuberculata"
"Faroes","OTB","Acanthocardia tuberculata"
"Greater North Sea","OTB","Acanthocardia tuberculata"
"Greenland Sea","OTB","Acanthocardia tuberculata"
"Icelandic Waters","OTB","Acanthocardia tuberculata"
"Ionian Sea and the Central Mediterranean Sea","OTB","Acanthocardia tuberculata"
"Norwegian Sea","OTB","Acanthocardia tuberculata"
"Oceanic Northeast Atlantic","OTB","Acanthocardia tuberculata"
"Western Mediterranean Sea","OTB","Acanthocardia tuberculata"
NA,"OTB","Acanthocardia tuberculata"
"Adriatic Sea","GNS","Acipenser"
"Aegean-Levantine Sea","GNS","Acipenser"
"Azores","GNS","Acipenser"
"Baltic Sea","GNS","Acipenser"
"Barents Sea","GNS","Acipenser"
"Bay of Biscay and the Iberian Coast","GNS","Acipenser"
"Black Sea","GNS","Acipenser"
"Celtic Seas","GNS","Acipenser"
"Greater North Sea","GNS","Acipenser"
"Icelandic Waters","GNS","Acipenser"
"Ionian Sea and the Central Mediterranean Sea","GNS","Acipenser"
"Norwegian Sea","GNS","Acipenser"
"Oceanic Northeast Atlantic","GNS","Acipenser"
"Western Mediterranean Sea","GNS","Acipenser"
"Adriatic Sea","OTB","Acipenser naccarii"
"Aegean-Levantine Sea","OTB","Acipenser naccarii"
"Baltic Sea","OTB","Acipenser naccarii"
"Barents Sea","OTB","Acipenser naccarii"
"Bay of Biscay and the Iberian Coast","OTB","Acipenser naccarii"
"Celtic Seas","OTB","Acipenser naccarii"
"Faroes","OTB","Acipenser naccarii"
"Greater North Sea","OTB","Acipenser naccarii"
"Greenland Sea","OTB","Acipenser naccarii"
"Icelandic Waters","OTB","Acipenser naccarii"
"Ionian Sea and the Central Mediterranean Sea","OTB","Acipenser naccarii"
"Norwegian Sea","OTB","Acipenser naccarii"
"Oceanic Northeast Atlantic","OTB","Acipenser naccarii"
"Western Mediterranean Sea","OTB","Acipenser naccarii"
NA,"OTB","Acipenser naccarii"
"Adriatic Sea","GNS","Acipenser oxyrinchus"
"Aegean-Levantine Sea","GNS","Acipenser oxyrinchus"
"Azores","GNS","Acipenser oxyrinchus"
"Baltic Sea","GNS","Acipenser oxyrinchus"
"Barents Sea","GNS","Acipenser oxyrinchus"
"Bay of Biscay and the Iberian Coast","GNS","Acipenser oxyrinchus"
"Black Sea","GNS","Acipenser oxyrinchus"
"Celtic Seas","GNS","Acipenser oxyrinchus"
"Greater North Sea","GNS","Acipenser oxyrinchus"
"Icelandic Waters","GNS","Acipenser oxyrinchus"
"Ionian Sea and the Central Mediterranean Sea","GNS","Acipenser oxyrinchus"
"Norwegian Sea","GNS","Acipenser oxyrinchus"
"Oceanic Northeast Atlantic","GNS","Acipenser oxyrinchus"
"Western Mediterranean Sea","GNS","Acipenser oxyrinchus"
"Adriatic Sea","OTM","Acipenser stellatus"
"Baltic Sea","OTM","Acipenser stellatus"
"Bay of Biscay and the Iberian Coast","OTM","Acipenser stellatus"
"Black Sea","OTM","Acipenser stellatus"
"Celtic Seas","OTM","Acipenser stellatus"
"Faroes","OTM","Acipenser stellatus"
"Greater North Sea","OTM","Acipenser stellatus"
"Icelandic Waters","OTM","Acipenser stellatus"
